emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
136,128,130,129,127,130,136,140,199,148,253,127,127,127,123,123,97
136,128,130,129,127,130,136,141,199,148,253,127,127,127,123,123,97
137,129,130,129,127,130,136,142,199,148,253,127,127,127,123,123,97
128,127,128,127,127,128,129,128,199,148,253,127,127,127,123,123,97
129,127,128,127,127,128,130,129,199,148,253,127,127,127,123,123,97
130,127,129,128,127,129,132,132,199,148,253,127,127,127,123,123,97
131,128,129,128,127,129,133,134,199,148,253,127,127,127,123,123,97
133,128,129,128,127,130,134,136,199,148,253,127,127,127,123,123,97
134,128,130,128,127,130,135,138,199,148,253,127,127,127,123,123,97
135,128,130,128,127,130,135,139,199,148,253,127,127,127,123,123,97
136,129,129,129,127,129,136,141,199,148,253,127,127,127,123,123,97
137,129,129,129,127,129,136,141,199,148,253,127,127,127,123,123,97
127,127,127,127,127,127,128,127,199,148,253,127,127,127,123,123,97
128,127,127,127,127,128,129,129,199,148,253,127,127,127,123,123,97
129,127,128,128,127,128,131,131,199,148,253,127,127,127,123,123,97
131,128,128,128,127,129,132,133,199,148,253,127,127,127,123,123,97
132,128,128,128,127,129,133,135,199,148,253,127,127,127,123,123,97
133,128,129,128,127,129,134,137,199,148,253,127,127,127,123,123,97
134,128,129,128,127,129,135,138,199,148,253,127,127,127,123,123,97
135,129,129,128,127,129,135,140,199,148,253,127,127,127,123,123,97
136,129,130,128,127,128,135,141,199,148,253,127,127,127,123,123,97
137,129,130,128,127,128,135,142,199,148,253,127,127,127,123,123,97
128,127,128,127,127,128,128,128,199,148,253,127,127,127,123,123,97
129,127,128,127,126,128,129,130,199,148,253,127,127,127,123,123,97
130,128,128,127,127,128,130,133,199,148,253,127,127,127,123,123,97
132,128,129,127,127,128,132,135,199,148,253,127,127,127,123,123,97
133,128,129,128,127,128,133,136,199,148,253,127,127,127,123,123,97
134,129,129,128,127,128,133,138,199,148,253,127,127,127,123,123,97
135,129,130,128,127,128,134,139,199,148,253,127,127,127,123,123,97
136,129,130,128,127,128,135,141,199,148,253,127,127,127,123,123,97
136,130,130,128,127,129,135,142,199,148,253,127,127,127,123,123,97
128,128,128,127,127,127,127,128,199,148,253,127,127,127,123,123,97
129,128,128,127,127,128,128,130,199,148,253,127,127,127,123,123,97
130,128,129,127,127,128,130,133,199,148,253,127,127,127,123,123,97
131,129,129,127,127,129,131,135,199,148,253,127,127,127,123,123,97
133,129,129,127,127,129,132,136,199,148,253,127,127,127,123,123,97
134,129,130,128,127,129,133,138,199,148,253,127,127,127,123,123,97
135,129,130,128,127,129,134,139,199,148,253,127,127,127,123,123,97
136,130,130,128,127,129,134,141,199,148,253,127,127,127,123,123,97
136,130,130,128,127,129,135,142,199,148,253,127,127,127,123,123,97
127,128,128,126,127,127,128,127,199,148,253,127,127,127,123,123,97
128,128,128,126,127,127,129,129,199,148,253,127,127,127,123,123,97
129,128,128,126,127,128,131,132,199,148,253,127,127,127,123,123,97
131,129,129,127,127,128,132,134,199,148,253,127,127,127,123,123,97
132,129,129,127,127,128,133,136,199,148,253,127,127,127,123,123,97
133,129,129,127,127,129,134,137,199,148,253,127,127,127,123,123,97
134,129,130,127,127,129,135,139,199,148,253,127,127,127,123,123,97
135,129,130,127,127,129,135,140,199,148,253,127,127,127,123,123,97
136,129,130,127,127,129,136,141,199,148,253,127,127,127,123,123,97
136,129,130,127,127,129,136,142,199,148,253,127,127,127,123,123,97
128,127,127,127,127,128,130,130,199,148,253,127,127,127,123,123,97
130,128,128,127,127,128,131,132,199,148,253,127,127,127,123,123,97
131,128,128,127,127,128,132,134,199,148,253,127,127,127,123,123,97
133,128,129,127,127,128,133,136,199,148,253,127,127,127,123,123,97
134,129,129,127,127,128,134,137,199,148,253,127,127,127,123,123,97
135,129,129,128,127,129,134,139,199,148,253,127,127,127,123,123,97
136,129,130,128,127,129,135,140,199,148,253,127,127,127,123,123,97
136,129,130,128,127,129,135,141,199,148,253,127,127,127,123,123,97
137,129,130,128,127,129,136,141,199,148,253,127,127,127,123,123,97
127,127,127,126,127,128,129,129,199,148,253,127,127,127,123,123,97
130,128,128,127,127,128,129,129,199,148,253,127,127,127,123,123,97
131,128,129,127,127,128,130,131,199,148,253,127,127,127,123,123,97
