emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
128,129,129,127,126,126,126,128,197,146,254,127,127,127,124,123,111
126,128,128,127,127,129,127,129,197,146,254,127,127,127,124,123,111
126,128,128,127,127,129,127,129,197,146,254,127,127,127,124,123,111
127,128,128,127,127,129,127,129,197,146,254,127,127,127,124,123,111
127,129,129,127,127,128,127,128,197,146,254,127,127,127,124,123,111
128,129,129,127,127,128,127,128,197,146,254,127,127,127,124,123,111
128,129,129,127,126,128,127,128,197,146,254,127,127,127,124,123,111
128,129,128,127,126,127,126,128,197,146,254,127,127,127,124,123,111
128,129,129,127,126,127,126,128,197,146,254,127,127,127,124,123,111
128,129,129,127,126,127,126,128,197,146,254,127,127,127,124,123,111
127,129,129,127,127,128,127,130,197,146,254,127,127,127,124,123,111
127,129,130,127,127,128,127,129,197,146,254,127,127,127,124,123,111
127,130,130,127,127,128,127,129,197,146,254,127,127,127,124,123,111
127,130,131,127,127,128,128,130,197,146,254,127,127,127,124,123,111
127,130,131,127,127,128,127,129,197,146,254,127,127,127,124,123,111
127,130,131,127,127,128,127,129,197,146,254,127,127,127,124,123,111
127,129,131,127,127,127,127,129,197,146,254,127,127,127,124,123,111
127,130,131,127,127,127,127,129,197,146,254,127,127,127,124,123,111
128,129,131,127,127,127,127,129,197,146,254,127,127,127,124,123,111
128,129,131,127,127,127,127,129,197,146,254,127,127,127,124,123,111
124,120,119,125,126,125,125,127,197,146,254,127,127,127,124,123,111
124,120,118,125,126,125,125,127,197,146,254,127,127,127,124,123,111
123,119,117,125,126,126,126,127,197,146,254,127,127,127,124,123,111
123,119,117,125,126,126,126,127,197,146,254,127,127,127,124,123,111
123,119,117,125,126,126,126,126,197,146,254,127,127,127,124,123,111
123,119,117,125,126,126,126,127,197,146,254,127,127,127,124,123,111
123,119,117,125,126,127,126,127,197,146,254,127,127,127,124,123,111
123,120,117,126,126,127,126,127,197,146,254,127,127,127,124,123,111
123,120,118,126,126,127,126,127,197,146,254,127,127,127,124,123,111
125,121,119,125,126,125,125,128,197,146,254,127,127,127,124,123,111
127,128,129,128,128,130,127,128,197,146,254,127,127,127,124,123,111
127,128,128,128,128,130,127,127,197,146,254,127,127,127,124,123,111
126,128,128,127,128,130,127,127,197,146,254,127,127,127,124,123,111
126,128,128,127,128,130,127,127,197,146,254,127,127,127,124,123,111
126,127,127,127,128,130,127,127,197,146,254,127,127,127,124,123,111
126,127,127,127,128,129,127,127,197,146,254,127,127,127,124,123,111
126,127,127,127,128,129,127,127,197,146,254,127,127,127,124,123,111
126,127,127,127,128,129,127,126,197,146,254,127,127,127,124,123,111
127,129,130,127,128,129,127,128,197,146,254,127,127,127,124,123,111
127,129,129,128,128,130,127,128,197,146,254,127,127,127,124,123,111
126,127,126,127,127,129,128,129,197,146,254,127,127,127,124,123,111
126,127,126,127,127,129,128,129,197,146,254,127,127,127,124,123,111
126,126,125,128,127,128,128,129,197,146,254,127,127,127,124,123,111
127,126,125,128,127,128,128,129,197,146,254,127,127,127,124,123,111
127,126,125,128,127,128,128,129,197,146,254,127,127,127,124,123,111
127,126,125,128,127,128,128,129,197,146,254,127,127,127,124,123,111
127,126,125,128,127,128,127,129,197,146,254,127,127,127,124,123,111
126,126,126,127,127,128,128,129,197,146,254,127,127,127,124,123,111
126,127,126,127,127,129,128,130,197,146,254,127,127,127,124,123,111
126,127,126,127,127,129,128,130,197,146,254,127,127,127,124,123,111
124,119,118,126,125,123,125,128,198,146,254,127,127,127,124,123,111
124,119,118,126,125,124,125,128,198,146,254,127,127,127,124,123,111
124,119,118,126,125,124,125,128,198,146,254,127,127,127,124,123,111
125,119,118,126,126,124,125,128,198,146,254,127,127,127,124,123,111
125,120,118,126,126,124,126,128,198,146,254,127,127,127,124,123,111
126,121,119,126,126,124,126,128,198,146,254,127,127,127,124,123,111
123,121,123,126,124,123,125,129,198,146,254,127,127,127,124,123,111
123,121,122,126,124,123,126,129,198,146,254,127,127,127,124,123,111
123,120,121,126,124,123,126,129,198,146,254,127,127,127,124,123,111
123,119,119,126,124,123,125,128,198,146,254,127,127,127,124,123,111
126,128,129,128,127,128,127,128,198,146,254,127,127,127,124,123,111
126,128,129,127,127,128,127,128,198,146,254,127,127,127,124,123,111
126,128,129,127,127,128,127,128,198,146,254,127,127,127,124,123,111
126,128,129,127,127,128,127,128,198,146,254,127,127,127,124,123,111
126,128,129,127,127,128,127,128,198,146,254,127,127,127,124,123,111
127,130,130,128,127,129,127,129,198,146,254,127,127,127,124,123,111
127,129,129,128,127,129,127,129,198,146,254,127,127,127,124,123,111
127,129,129,128,127,129,127,129,198,146,254,127,127,127,124,123,111
127,129,129,128,127,129,127,129,198,146,254,127,127,127,124,123,111
126,128,129,128,127,128,127,128,198,146,254,127,127,127,124,123,111
125,129,129,128,127,129,127,127,198,146,254,127,127,127,124,123,111
125,129,128,128,127,129,127,127,198,146,254,127,127,127,124,123,111
125,129,128,128,127,128,127,126,198,146,254,127,127,127,124,123,111
125,129,128,128,127,129,127,127,198,146,254,127,127,127,124,123,111
126,131,130,128,127,129,127,128,198,146,254,127,127,127,124,123,111
125,130,130,128,127,129,128,128,198,146,254,127,127,127,124,123,111
125,130,130,128,127,129,128,128,198,146,254,127,127,127,124,123,111
125,130,129,128,127,129,127,127,198,146,254,127,127,127,124,123,111
125,129,129,128,127,129,127,127,198,146,254,127,127,127,124,123,111
125,129,129,128,127,129,127,127,198,146,254,127,127,127,124,123,111
125,124,126,127,127,128,127,128,198,146,254,127,127,127,124,123,111
124,124,125,127,127,128,127,127,198,146,254,127,127,127,124,123,111
124,124,125,127,127,128,127,127,198,146,254,127,127,127,124,123,111
125,128,129,127,127,129,127,128,198,146,254,127,127,127,124,123,111
125,127,129,127,127,130,128,128,198,146,254,127,127,127,124,123,111
125,127,128,127,128,130,128,129,198,146,254,127,127,127,124,123,111
125,126,127,127,128,130,128,128,198,146,254,127,127,127,124,123,111
125,125,127,127,127,129,127,128,198,146,254,127,127,127,124,123,111
125,125,126,127,127,129,127,128,198,146,254,127,127,127,124,123,111
125,124,126,127,127,129,127,128,198,146,254,127,127,127,124,123,111
125,123,124,127,127,127,127,128,198,146,254,127,127,127,124,123,111
125,123,125,127,127,128,127,128,198,146,254,127,127,127,124,123,111
126,126,125,126,127,128,127,129,198,146,254,127,127,127,124,123,111
126,125,125,126,127,128,127,129,198,146,254,127,127,127,124,123,111
126,125,125,126,127,128,127,130,198,146,254,127,127,127,124,123,111
126,125,125,126,127,128,127,129,198,146,254,127,127,127,124,123,111
125,124,125,126,127,128,127,129,198,146,254,127,127,127,124,123,111
125,124,125,127,127,128,127,129,198,146,254,127,127,127,124,123,111
125,124,125,127,127,128,127,129,198,146,254,127,127,127,124,123,111
125,123,125,127,127,128,127,128,198,146,254,127,127,127,124,123,111
126,127,127,127,127,128,127,127,198,146,254,127,127,127,124,123,111
127,127,127,127,127,128,127,127,198,146,254,127,127,127,124,123,111
127,127,127,127,127,128,127,127,198,146,254,127,127,127,124,123,111
127,127,127,127,127,128,127,127,198,146,254,127,127,127,124,123,111
127,127,127,127,127,128,127,127,198,146,254,127,127,127,124,123,111
127,127,127,127,127,128,127,127,198,146,254,127,127,127,124,123,111
126,127,127,127,127,128,127,128,198,146,254,127,127,127,124,123,111
126,127,127,127,127,128,127,128,198,146,254,127,127,127,124,123,111
126,127,126,127,127,128,127,128,198,146,254,127,127,127,124,123,111
126,127,127,127,127,128,127,128,198,146,254,127,127,127,124,123,111
126,128,127,126,126,125,126,129,198,146,254,127,127,127,124,123,111
126,128,128,127,126,125,126,129,198,146,254,127,127,127,124,123,111
125,128,128,127,125,124,126,128,198,146,254,127,127,127,124,123,111
125,129,129,127,125,124,125,128,198,146,254,127,127,127,124,123,111
124,129,130,127,125,124,125,128,198,146,254,127,127,127,124,123,111
125,130,131,127,125,123,125,127,198,146,254,127,127,127,124,123,111
125,130,132,127,125,123,125,127,198,146,254,127,127,127,124,123,111
125,130,132,127,125,123,125,127,198,146,254,127,127,127,124,123,111
126,131,133,127,125,124,125,127,198,146,254,127,127,127,124,123,111
127,131,133,127,125,124,125,127,198,146,254,127,127,127,124,123,111
127,129,129,128,127,129,127,129,198,146,254,127,127,127,124,123,111
127,129,129,128,127,128,127,129,198,146,254,127,127,127,124,123,111
127,129,130,128,127,128,127,128,198,146,254,127,127,127,124,123,111
127,130,130,128,127,128,127,128,198,146,254,127,127,127,124,123,111
127,129,129,127,127,127,127,128,198,146,254,127,127,127,124,123,111
127,129,129,127,127,127,127,127,198,146,254,127,127,127,124,123,111
127,129,130,127,127,127,127,127,198,146,254,127,127,127,124,123,111
127,129,130,127,127,127,127,127,198,146,254,127,127,127,124,123,111
127,129,130,128,127,127,127,127,198,146,254,127,127,127,124,123,111
127,129,130,128,127,127,127,127,198,146,254,127,127,127,124,123,111
127,126,126,127,127,127,127,130,198,146,254,127,127,127,124,123,111
127,125,126,127,127,127,127,130,198,146,254,127,127,127,124,123,111
126,125,125,127,127,127,127,130,198,146,254,127,127,127,124,123,111
126,124,124,126,126,127,127,129,198,146,254,127,127,127,124,123,111
126,124,124,126,126,126,126,129,198,146,254,127,127,127,124,123,111
125,123,123,126,126,126,126,129,198,146,254,127,127,127,124,123,111
125,123,123,126,126,125,126,128,198,146,254,127,127,127,124,123,111
125,123,123,126,126,125,125,128,198,146,254,127,127,127,124,123,111
124,123,123,126,126,125,125,128,198,146,254,127,127,127,124,123,111
127,126,126,127,127,127,127,130,198,146,254,127,127,127,124,123,111
125,127,127,127,126,126,126,128,198,146,254,127,127,127,124,123,111
126,127,127,127,126,127,126,128,198,146,254,127,127,127,124,123,111
126,127,127,127,126,127,126,128,198,146,254,127,127,127,124,123,111
126,127,127,127,126,127,127,128,198,146,254,127,127,127,124,123,111
126,127,127,127,127,128,127,129,198,146,254,127,127,127,124,123,111
126,127,127,127,127,127,127,128,198,146,254,127,127,127,124,123,111
126,127,127,127,127,127,127,128,198,146,254,127,127,127,124,123,111
126,127,127,127,127,127,127,128,198,146,254,127,127,127,124,123,111
125,128,127,126,126,126,126,129,198,146,254,127,127,127,124,123,111
125,128,127,127,126,126,126,129,198,146,254,127,127,127,124,123,111
125,125,126,127,126,126,126,128,198,146,254,127,127,127,124,123,111
125,125,126,127,126,126,126,128,198,146,254,127,127,127,124,123,111
125,125,126,127,126,127,126,128,198,146,254,127,127,127,124,123,111
125,125,126,127,127,127,127,128,198,146,254,127,127,127,124,123,111
125,125,125,127,127,127,127,128,198,146,254,127,127,127,124,123,111
