emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
121,122,125,127,126,125,118,128,179,140,253,127,127,127,125,120,108
122,122,125,127,126,125,119,128,179,140,253,127,127,127,125,120,108
123,122,126,127,126,125,120,128,179,140,253,127,127,127,125,120,108
124,123,126,126,126,126,121,128,179,140,253,127,127,127,125,120,108
125,123,126,126,126,127,122,128,179,140,253,127,127,127,125,120,108
126,123,127,126,126,127,123,128,179,140,253,127,127,127,125,120,108
119,121,124,127,126,124,116,128,179,140,253,127,127,127,125,120,108
119,121,124,126,126,125,117,128,179,140,253,127,127,127,125,120,108
120,121,124,127,126,125,118,128,179,140,253,127,127,127,125,120,108
120,121,125,127,126,125,118,128,179,140,253,127,127,127,125,120,108
122,123,124,126,126,126,120,128,179,140,253,127,127,127,125,120,108
123,123,125,126,126,126,120,128,179,140,253,127,127,127,125,120,108
124,123,125,126,126,127,122,128,179,140,253,127,127,127,125,120,108
125,124,125,126,127,127,123,128,179,140,253,127,127,127,125,120,108
126,124,126,126,127,127,124,128,179,140,253,127,127,127,125,120,108
119,122,123,126,126,125,117,128,179,140,253,127,127,127,125,120,108
119,122,123,126,126,125,118,128,179,140,253,127,127,127,125,120,108
119,122,123,126,126,126,118,128,179,140,253,127,127,127,125,120,108
120,122,124,126,126,126,119,128,179,140,253,127,127,127,125,120,108
121,123,124,126,126,126,119,128,179,140,253,127,127,127,125,120,108
122,124,124,127,126,126,122,128,179,140,253,127,127,127,125,120,108
123,124,124,127,126,126,123,127,179,140,253,127,127,127,125,120,108
124,125,125,127,126,127,124,127,179,140,253,127,127,127,125,120,108
125,125,125,127,127,127,125,127,179,140,253,127,127,127,125,120,108
118,122,122,127,126,125,118,128,179,140,253,127,127,127,125,120,108
118,123,122,127,126,125,119,128,179,140,253,127,127,127,125,120,108
119,123,122,127,126,125,120,128,179,140,253,127,127,127,125,120,108
120,123,123,127,126,126,120,128,179,140,253,127,127,127,125,120,108
121,123,123,127,126,126,121,127,179,140,253,127,127,127,125,120,108
122,124,123,127,126,126,121,127,179,140,253,127,127,127,125,120,108
125,123,124,127,126,125,120,127,179,140,253,127,127,127,125,120,108
126,123,124,127,126,126,122,127,179,140,253,127,127,127,125,120,108
127,124,125,127,126,127,122,127,179,140,253,127,127,127,125,120,108
121,123,122,127,125,124,116,128,179,140,253,127,127,127,125,120,108
121,123,122,127,125,124,117,127,179,140,253,127,127,127,125,120,108
121,123,123,127,125,125,118,127,179,140,253,127,127,127,125,120,108
122,123,123,127,125,125,118,127,179,140,253,127,127,127,125,120,108
122,123,123,127,125,125,118,127,179,140,253,127,127,127,125,120,108
123,123,123,127,126,125,119,128,179,140,253,127,127,127,125,120,108
124,123,124,127,126,125,119,128,179,140,253,127,127,127,125,120,108
128,125,125,129,126,125,120,128,179,140,252,127,127,127,125,120,108
129,125,126,129,126,125,121,128,179,140,252,127,127,127,125,120,108
123,123,123,129,126,123,116,128,179,140,252,127,127,127,125,120,108
123,124,123,129,126,123,116,128,179,140,252,127,127,127,125,120,108
123,124,123,129,126,124,116,128,179,140,252,127,127,127,125,120,108
