emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
114,127,114,121,127,113,109,109,250,84,250,127,127,127,140,130,101
116,127,116,122,127,115,111,111,250,84,250,127,127,127,140,130,101
118,127,119,122,127,116,113,114,250,84,250,127,127,127,140,130,101
108,127,105,119,127,109,102,101,250,84,250,127,127,127,140,130,101
108,127,106,119,127,109,103,101,250,84,250,127,127,127,140,130,101
109,127,107,120,127,109,103,102,250,84,250,127,127,127,140,130,101
110,127,109,120,127,110,104,104,250,84,250,127,127,127,140,130,101
111,127,110,120,127,111,105,105,250,84,250,127,127,127,140,130,101
112,127,111,120,127,111,106,106,250,84,250,127,127,127,140,130,101
113,127,113,121,127,112,108,108,250,84,250,127,127,127,140,130,101
116,127,115,122,126,114,110,110,250,84,250,127,127,127,140,130,101
117,127,117,122,126,116,112,112,250,84,250,127,127,127,140,130,101
108,129,107,119,127,108,103,101,250,84,250,127,127,127,140,130,101
108,128,107,119,127,109,103,101,250,84,250,127,127,127,140,130,101
109,128,108,120,127,109,103,102,250,84,250,127,127,127,140,130,101
110,128,109,120,127,110,104,103,250,84,250,127,127,127,140,130,101
111,128,110,120,126,110,105,104,250,84,250,127,127,127,140,130,101
112,128,111,120,126,111,106,105,250,84,250,127,127,127,140,130,101
113,128,112,121,126,112,108,107,250,84,250,127,127,127,140,130,101
114,127,114,121,126,113,109,109,250,84,250,127,127,127,140,130,101
117,129,118,122,127,115,112,111,250,84,250,127,127,127,140,130,101
107,128,105,119,127,109,102,100,250,84,250,127,127,127,140,130,101
108,128,106,119,127,109,103,100,250,84,250,127,127,127,140,130,101
109,128,107,119,127,109,103,101,250,84,250,127,127,127,140,130,101
110,129,109,119,127,110,104,102,250,84,250,127,127,127,140,130,101
111,129,110,120,127,110,105,103,250,84,250,127,127,127,140,130,101
112,129,112,120,127,111,106,104,250,84,250,127,127,127,140,130,101
113,129,113,121,127,112,107,106,250,84,250,127,127,127,140,130,101
114,129,115,121,127,113,108,108,250,84,250,127,127,127,140,130,101
116,129,116,121,127,114,110,109,250,84,250,127,127,127,140,130,101
108,128,105,119,127,108,102,100,250,84,250,127,127,127,140,130,101
108,128,106,119,127,108,102,101,250,84,250,127,127,127,140,130,101
109,128,107,119,127,109,103,101,250,84,250,127,127,127,140,130,101
109,128,108,120,127,109,103,103,250,84,250,127,127,127,140,130,101
110,127,109,120,127,110,104,104,250,84,250,127,127,127,140,130,101
111,127,110,120,127,111,105,105,250,84,250,127,127,127,140,130,101
112,127,111,120,127,112,107,106,250,84,250,127,127,127,140,130,101
114,127,113,121,126,113,108,108,250,84,250,127,127,127,140,130,101
115,127,114,121,126,114,109,110,250,84,250,127,127,127,140,130,101
116,127,116,122,127,115,111,112,250,84,250,127,127,127,140,130,101
108,127,106,119,127,108,102,101,250,84,250,127,127,127,140,130,101
108,127,106,119,127,109,103,101,250,84,250,127,127,127,140,130,101
109,127,107,119,127,109,103,102,250,84,250,127,127,127,140,130,101
110,127,109,119,127,110,104,103,250,84,250,127,127,127,140,130,101
111,127,110,120,127,110,105,105,250,84,250,127,127,127,140,130,101
112,127,111,120,127,111,106,106,250,84,250,127,127,127,140,130,101
114,127,112,120,127,112,108,108,250,84,250,127,127,127,140,130,101
115,127,114,121,127,113,109,109,250,84,250,127,127,127,140,130,101
116,127,115,121,127,114,111,111,250,84,250,127,127,127,140,130,101
107,127,105,119,127,108,102,100,250,84,250,127,127,127,140,130,101
108,126,106,120,127,109,103,101,250,84,250,127,127,127,140,130,101
109,126,107,120,127,109,103,102,250,84,250,127,127,127,140,130,101
110,126,108,120,127,110,104,103,250,84,250,127,127,127,140,130,101
111,127,109,120,127,110,105,104,250,84,250,127,127,127,140,130,101
112,127,110,121,127,111,106,105,250,84,250,127,127,127,140,130,101
113,127,112,121,127,112,107,107,250,84,250,127,127,127,140,130,101
114,127,114,121,127,113,109,108,250,84,250,127,127,127,140,130,101
116,127,115,122,127,114,110,110,250,84,250,127,127,127,140,130,101
107,126,104,119,127,108,103,100,250,84,250,127,127,127,140,130,101
108,126,105,119,127,108,103,101,250,84,250,127,127,127,140,130,101
108,129,108,120,127,110,104,103,250,84,250,127,127,127,140,130,101
109,129,109,120,127,110,105,104,250,84,250,127,127,127,140,130,101
110,129,110,120,127,111,106,105,250,84,250,127,127,127,140,130,101
111,129,111,120,127,112,107,107,250,84,250,127,127,127,140,130,101
112,129,113,121,127,113,108,108,250,84,250,127,127,127,140,130,101
114,129,114,121,127,114,110,109,250,84,250,127,127,127,140,130,101
115,129,116,122,127,115,111,111,250,84,250,127,127,127,140,130,101
117,128,117,122,127,116,113,113,250,84,250,127,127,127,140,130,101
107,129,107,119,127,109,103,101,250,84,250,127,127,127,140,130,101
108,129,107,119,127,109,103,102,250,84,250,127,127,127,140,130,101
110,128,108,119,127,108,103,102,250,84,250,127,127,127,140,130,101
110,127,109,120,127,109,103,103,250,84,250,127,127,127,140,130,101
111,127,110,120,127,110,104,104,250,84,250,127,127,127,140,130,101
112,127,111,120,127,111,106,106,250,84,250,127,127,127,140,130,101
113,127,112,121,126,112,107,107,250,84,250,127,127,127,140,130,101
114,127,114,121,126,113,109,109,250,84,250,127,127,127,140,130,101
116,127,115,122,126,115,111,111,250,84,250,127,127,127,140,130,101
108,128,106,119,127,107,101,100,250,84,250,127,127,127,140,130,101
108,128,106,119,127,107,101,100,250,84,250,127,127,127,140,130,101
109,128,107,119,127,108,102,101,250,84,250,127,127,127,140,130,101
109,127,108,120,127,109,104,103,250,84,250,127,127,127,140,130,101
110,127,110,120,127,110,105,104,250,84,250,127,127,127,140,130,101
111,127,111,120,127,111,106,105,250,84,250,127,127,127,140,130,101
112,127,113,121,127,112,107,107,250,84,250,127,127,127,140,130,101
114,127,115,121,127,113,109,109,250,84,250,127,127,127,140,130,101
