emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,angle_pitch,angle_roll,angle_yaw
121,127,120,126,127,125,123,123,248,85,250,127,127,127,140,129,100
119,127,118,125,127,123,119,120,248,85,250,127,127,127,140,129,100
138,128,137,132,126,138,143,144,248,85,250,127,127,127,140,129,100
136,128,136,131,126,137,142,143,248,85,250,127,127,127,140,129,100
135,128,134,131,127,137,140,141,248,85,250,127,127,127,140,129,100
134,128,133,130,127,135,138,139,248,85,250,127,127,127,140,129,100
132,128,131,130,127,133,135,136,248,85,250,127,127,127,140,129,100
129,128,128,129,127,131,132,133,248,85,250,127,127,127,140,129,100
127,127,125,128,127,129,129,130,248,85,250,127,127,127,140,129,100
124,127,123,127,126,127,126,126,248,85,250,127,127,127,140,129,100
120,128,120,125,126,122,119,119,248,85,250,127,127,127,140,129,100
138,130,139,132,127,138,143,144,248,85,250,127,127,127,140,129,100
137,130,137,131,126,137,141,143,248,85,250,127,127,127,140,129,100
136,130,136,131,126,136,140,141,248,85,250,127,127,127,140,129,100
135,130,135,130,126,135,138,139,248,85,250,127,127,127,140,129,100
133,129,133,129,126,133,135,136,248,85,250,127,127,127,140,129,100
130,129,130,128,126,131,132,133,248,85,250,127,127,127,140,129,100
128,129,128,127,126,129,129,130,248,85,250,127,127,127,140,129,100
125,128,125,127,126,126,125,126,248,85,250,127,127,127,140,129,100
123,128,122,126,126,124,122,123,248,85,250,127,127,127,140,129,100
138,129,137,132,126,139,143,144,248,85,250,127,127,127,140,129,100
137,129,135,131,126,138,142,143,248,85,250,127,127,127,140,129,100
136,129,134,131,126,137,140,141,248,85,250,127,127,127,140,129,100
134,128,132,130,126,135,139,139,248,85,250,127,127,127,140,129,100
132,128,129,129,126,134,136,137,248,85,250,127,127,127,140,129,100
130,127,127,129,126,132,134,134,248,85,250,127,127,127,140,129,100
128,127,124,128,126,130,131,131,248,85,250,127,127,127,140,129,100
125,126,121,127,126,128,127,128,248,85,250,127,127,127,140,129,100
123,126,119,126,126,125,124,124,248,85,250,127,127,127,140,129,100
121,125,117,125,126,123,121,121,248,85,250,127,127,127,140,129,100
138,130,138,132,127,138,143,144,248,85,250,127,127,127,140,129,100
137,130,137,131,127,137,141,142,248,85,250,127,127,127,140,129,100
136,130,135,131,127,136,139,141,248,85,250,127,127,127,140,129,100
134,130,133,130,127,135,137,138,248,85,250,127,127,127,140,129,100
132,130,131,129,127,133,135,136,248,85,250,127,127,127,140,129,100
129,130,129,128,127,131,132,133,248,85,250,127,127,127,140,129,100
127,129,126,127,127,129,128,129,248,85,250,127,127,127,140,129,100
124,129,124,127,127,126,125,126,248,85,250,127,127,127,140,129,100
122,129,121,126,127,124,122,122,248,85,250,127,127,127,140,129,100
139,130,139,132,127,139,144,145,248,85,250,127,127,127,140,129,100
137,130,137,131,127,138,142,142,248,85,250,127,127,127,140,129,100
135,130,135,131,127,136,140,140,248,85,250,127,127,127,140,129,100
134,130,133,130,127,135,138,138,248,85,250,127,127,127,140,129,100
131,129,131,129,126,133,135,135,248,85,250,127,127,127,140,129,100
129,129,129,128,126,132,132,133,248,85,250,127,127,127,140,129,100
127,129,126,128,126,129,129,129,248,85,250,127,127,127,140,129,100
124,128,124,127,126,127,126,126,248,85,250,127,127,127,140,129,100
121,128,121,126,127,124,122,122,248,85,250,127,127,127,140,129,100
139,130,139,132,127,139,144,145,248,85,250,127,127,127,140,129,100
138,130,138,132,127,139,143,143,248,85,250,127,127,127,140,129,100
136,129,135,131,126,137,140,141,248,85,250,127,127,127,140,129,100
135,129,133,130,126,135,138,139,248,85,250,127,127,127,140,129,100
132,129,131,129,126,134,136,137,248,85,250,127,127,127,140,129,100
130,129,128,129,126,132,133,134,248,85,250,127,127,127,140,129,100
128,128,126,128,126,130,130,131,248,85,250,127,127,127,140,129,100
125,128,123,127,126,128,127,127,248,85,250,127,127,127,140,129,100
123,128,121,126,126,125,123,124,248,85,250,127,127,127,140,129,100
139,130,138,132,127,140,145,146,248,85,250,127,127,127,140,129,100
138,130,137,132,127,139,143,145,248,85,250,127,127,127,140,129,100
137,130,136,131,127,138,142,143,248,85,250,127,127,127,140,129,100
135,130,135,131,127,136,139,139,248,85,250,127,127,127,139,129,100
133,130,133,130,127,134,136,137,248,85,250,127,127,127,139,129,100
131,130,131,129,127,133,134,134,248,85,250,127,127,127,139,129,100
128,130,128,128,127,130,131,131,248,85,250,127,127,127,139,129,100
126,129,126,127,127,128,127,128,248,85,250,127,127,127,139,129,100
123,129,124,126,127,126,124,124,248,85,250,127,127,127,139,129,100
121,128,121,125,126,123,120,120,248,85,250,127,127,127,139,129,100
138,130,138,132,127,139,144,144,248,85,250,127,127,127,139,129,100
137,130,137,132,127,138,142,143,248,85,250,127,127,127,139,129,100
136,130,136,131,127,137,141,141,248,85,250,127,127,127,139,129,100
133,127,131,130,127,135,137,137,248,85,250,127,127,127,139,129,100
131,127,129,129,126,133,135,134,248,85,250,127,127,127,139,129,100
128,127,126,128,126,131,132,131,248,85,250,127,127,127,139,129,100
126,126,124,127,126,129,129,128,248,85,250,127,127,127,139,129,100
123,126,121,126,126,126,125,125,248,85,250,127,127,127,139,129,100
121,126,119,125,126,124,122,121,248,85,250,127,127,127,139,129,100
138,128,137,132,127,139,144,144,248,85,250,127,127,127,139,129,100
137,127,136,131,127,138,143,143,248,85,250,127,127,127,139,129,100
136,127,134,131,127,137,141,141,248,85,250,127,127,127,139,129,100
135,127,133,130,127,136,140,139,248,85,250,127,127,127,139,129,100
131,130,131,129,126,133,135,135,248,85,250,127,127,127,139,129,100
129,129,129,128,126,131,132,133,248,85,250,127,127,127,139,129,100
126,129,126,127,126,129,129,129,248,85,250,127,127,127,139,129,100
124,128,124,127,126,127,125,126,248,85,250,127,127,127,139,129,100
121,128,121,125,126,124,122,122,248,85,250,127,127,127,139,129,100
139,131,140,132,126,140,144,145,248,85,250,127,127,127,139,129,100
138,131,138,132,126,139,143,144,248,85,250,127,127,127,139,129,100
137,130,137,131,126,138,141,142,248,85,250,127,127,127,139,129,100
